C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Quartz,C_Tot_K_fs,C_Tot_Plag,C_Tot_Flds,C_Tot_14A,C_Tot_10A,C_Kaolinit,C_Tot_Clay,C_Gibbsite,C_Calcite,C_Dolomite,C_Aragon,C_Tot_Carb,C_Analcime,C_Heuland,C_Tot_Zeol,C_Gypsum,C_Talc,C_Hornbl,C_Serpent,C_Hematite,C_Goethite,C_Pyroxene,C_Pyrite,C_Other,C_Amorph,C_Ag,C_Al,C_As,C_Ba,C_Be,C_Bi,C_C_Tot,C_C_Inorg,C_C_Org,C_Ca,C_Cd,C_Ce,C_Co,C_Cr,C_Cs,C_Cu,C_Fe,C_Ga,C_Hg,C_In,C_K,C_La,C_Li,C_Mg,C_Mn,C_Mo,C_Na,C_Nb,C_Ni,C_P,C_Pb,C_Rb,C_S,C_Sb,C_Sc,C_Se,C_Sn,C_Sr,C_Te,C_Th,C_Ti,C_Tl,C_U,C_V,C_W,C_Y,C_Zn
C-328965,96,AL,31.3146,-87.1166,02/18/09,Planted/Cultivated,Pasture/Hay,50-100,71.3,N.D.,N.D.,N.D.,N.D.,4.8,15.5,20.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,8.4,<1,5.42,4.8,121,0.6,0.24,0.11,N.D.,0.11,0.02,<0.1,36.3,3.7,26,<5,12.3,3.3,12.5,0.01,0.06,0.35,20.3,17,0.11,41,1.32,0.02,11.3,11.4,110,14,25.9,0.03,0.52,7.5,0.6,1.8,18.8,<0.1,10.8,0.4,0.3,2.8,68,0.9,7.7,28
C-328951,208,AL,33.8523,-86.9041,02/26/09,Developed,Low Intensity Residential,60-100,84.5,N.D.,N.D.,N.D.,N.D.,10.2,N.D.,10.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,5.3,<1,2.66,3.5,135,0.5,0.14,0.21,N.D.,0.21,0.02,<0.1,31.8,2.8,19,<5,9.9,1.48,5.49,0.05,0.02,0.33,15.1,17,0.12,64,0.8,0.01,6.5,10.7,150,9.9,32.7,<0.01,0.38,4.2,0.3,0.9,20.6,<0.1,5.8,0.22,0.3,2,38,0.5,6.3,28
C-328952,288,AL,31.2179,-85.8788,02/18/09,Planted/Cultivated,Fallow,30-100,81.3,N.D.,N.D.,N.D.,N.D.,3.6,7.9,11.4,7.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,5.13,6.1,59,0.4,0.23,0.13,N.D.,0.13,0.01,<0.1,85.4,1.7,15,<5,12.7,1.78,9.19,0.03,0.04,0.12,35.1,15,0.07,92,1.39,<0.01,10.1,16.7,130,12.6,14.1,0.02,0.55,5.5,0.3,1.5,8.2,<0.1,9,0.3,0.2,2.1,51,0.9,24.4,21
C-328842,656,AL,33.0992,-86.9976,02/23/09,Forested Upland,Evergreen Forest,60-100,78.2,2.8,N.D.,2.8,N.D.,6.5,5.8,12.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,6.7,<1,4.01,2.7,298,1.1,0.14,0.18,N.D.,0.18,<0.01,<0.1,52.8,16.5,25,<5,11.6,1.74,10.1,0.04,0.04,0.75,19.6,26,0.14,253,0.84,0.05,11.3,14.8,120,13.7,66.9,<0.01,0.54,6.7,0.4,1.6,28.2,<0.1,7,0.4,0.5,2.3,55,0.9,9.6,43
C-328880,912,AL,34.5501,-87.6779,02/25/09,Developed,Low Intensity Residential,60-70,69.9,N.D.,N.D.,N.D.,N.D.,8.5,14.1,22.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.8,N.D.,N.D.,N.D.,5.7,<1,5.39,7.3,235,1.4,0.24,0.23,N.D.,0.23,0.04,<0.1,80.3,8,42,<5,15.9,3.85,15.2,0.06,0.06,0.54,33.4,24,0.16,182,2.5,0.04,14.2,22.6,290,17,51.2,0.02,0.93,9.5,0.5,1.9,36.5,<0.1,9,0.32,0.5,2.9,87,9.8,11.4,69
C-328837,1232,AL,34.3577,-87.313,02/26/09,Forested Upland,Deciduous Forest,60-100,82.1,N.D.,N.D.,N.D.,N.D.,9.1,8.7,17.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.2,<1,4.17,5,148,0.8,0.15,0.2,N.D.,0.2,<0.01,<0.1,36.6,4.4,29,<5,8.4,2.2,11.2,0.05,0.04,0.4,17.2,22,0.14,56,0.83,0.02,10.2,12.2,150,10.5,44.1,<0.01,0.5,6.2,0.3,1.6,27.6,<0.1,6.5,0.29,0.4,2,54,0.7,8.4,31
C-328896,1312,AL,31.0634,-85.6928,02/19/09,Planted/Cultivated,Fallow,25-100,78.2,N.D.,N.D.,N.D.,N.D.,3.4,9.4,12.7,6.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.3,<1,6.14,6.5,43,0.5,0.33,0.21,N.D.,0.21,0.02,<0.1,41,2.5,28,<5,16,2.52,14.7,0.03,0.06,0.1,22.3,20,0.08,44,2.03,<0.01,16,20.3,200,10.6,12.3,0.03,0.73,7.5,0.3,2.7,8.9,<0.1,14.9,0.49,0.2,2.8,76,1.2,9.3,22
C-328841,1488,AL,34.2848,-85.6099,02/24/09,Forested Upland,Mixed Forest,50-100,88.6,1.6,N.D.,1.6,N.D.,7.9,N.D.,7.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.9,<1,1.99,2.8,151,0.6,0.15,0.91,N.D.,0.91,0.03,<0.1,44.7,2.7,18,<5,8.2,0.9,5.04,0.06,<0.02,0.32,20.7,24,0.1,122,0.62,0.03,9.5,6.8,220,15.9,24.1,0.02,0.43,2.9,0.3,1.3,19.6,<0.1,4.8,0.29,0.2,1.9,29,0.8,11.5,28
C-329009,1680,AL,32.7952,-86.9501,02/23/09,Forested Upland,Evergreen Forest,60-100,57.6,N.D.,N.D.,N.D.,N.D.,8.5,21.6,30.1,3.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,8.7,<1,7.16,6.3,193,1.1,0.28,0.14,N.D.,0.14,<0.01,<0.1,46.8,3.2,39,<5,9.1,3.03,19.7,0.03,0.07,0.63,23.9,21,0.14,55,1.11,0.04,18.7,13.2,120,18,35.8,0.02,0.55,10.2,0.6,2.5,29.4,<0.1,17.3,0.5,0.4,2.8,90,1.2,8.8,31
C-328881,1824,AL,31.7278,-87.1307,02/20/09,Developed,Low Intensity Residential,60-100,66.4,0.5,N.D.,0.5,N.D.,14.8,12.7,27.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,5.6,<1,6.1,5.4,245,0.8,0.23,0.16,N.D.,0.16,0.03,<0.1,43.2,2.9,45,5,11.7,2.85,17,0.02,0.06,0.83,20.8,23,0.3,49,1,0.06,11.9,10.1,140,13.5,65.8,0.02,0.77,8.8,0.5,1.9,32.2,<0.1,8.8,0.35,0.5,2.1,92,1.3,7.2,40
